TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
0260,17864,05550J10,2018-07-19,2023-12-29,1
0268,17939,74704P10,2018-07-19,2022-01-30,1
0268,17939,74704P40,2022-02-17,2022-05-03,1
0268,,,2022-05-19,2023-12-31,6
026D,17871,05455M10,2018-07-19,2023-12-29,1
026I,88659,00215W10,2018-07-19,2023-12-29,1
026P,17860,76133Q10,2018-08-16,2022-04-06,1
026P,,,2022-04-14,2023-12-31,6
026U,17880,30041R10,2018-08-16,2023-12-29,1
026V,17899,89374L10,2018-08-16,2021-09-13,1
026W,17898,64131A10,2018-08-16,2023-12-29,1
0273,17351,19188J30,2018-08-16,2022-10-10,1
0273,17351,19188J40,2022-10-20,2023-12-29,1
027P,17958,21037310,2018-08-16,2021-07-14,1
027T,17949,09371210,2018-09-20,2023-12-29,1
